step,price
1,20.1205805692
2,19.9997394581
3,19.7329955609
4,19.5812977078
5,19.4005394536
6,19.5844808141
7,19.7092387572
8,19.8648816765
9,19.9221184704
10,20.3214838493
11,20.4185179263
12,20.4399696066
13,20.5265500805
14,20.3014489477
15,19.9706810633
16,19.9916732244
17,20.0201246261
18,19.6823415768
19,19.5991519608
20,19.7007402939
21,19.3719706964
22,19.3698611003
23,19.4668166119
24,19.4112564751
25,19.4243395837
26,19.3512404212
27,19.3475956676
28,19.2031217332
29,19.1462983545
30,19.0491301121
31,18.7741421419
32,19.023429647
33,18.7940035445
34,18.7633321185
35,18.8325627605
36,18.9099485072
37,19.1471211259
38,19.247323067
39,19.6972846583
40,19.7458417828
41,19.9675733054
42,19.6465719799
43,19.4112998947
44,19.6311115339
45,19.6411828075
46,19.6117618826
47,19.8038935496
48,19.7221217244
49,19.8628541602
50,19.8482141767
51,19.5285823148
52,19.3805627321
53,19.3674397315
54,19.127241908
55,19.2346732586
56,19.2499017211
57,19.1360466733
58,19.0154928992
59,18.9486256554
60,19.4009398693
61,18.9751692339
62,19.3562065191
63,19.4829172279
64,19.827639768
65,20.1037502682
66,19.9560537235
67,19.957427536
68,20.1813247994
69,20.0789704044
70,20.4098278092
71,20.4750805634
72,20.7416426853
73,20.510645455
74,20.763372879
75,20.4296638392
76,20.5026412892
77,20.4996556074
78,20.6170871016
79,20.504991857
80,20.5404178391
81,20.4187576008
82,20.5973372533
83,20.8528093166
84,20.8301821576
85,20.7282903497
86,20.6583545751
87,21.0956703182
88,21.308731761
89,21.4102188288
90,21.0926134062
91,20.6695858848
92,21.011560424
93,21.5602800738
94,21.5035365431
95,21.2451110873
96,20.6394837347
97,20.5148031674
98,20.4291066348
,20.3957570773
